 0.5364   -0.6055       0.6983    1.4892
    1.0440    0.4336       1.2534    0.5015
    0.6646   -0.7502      -0.0284    1.6816
    1.6022    0.7294      -0.7349    1.5681
   -0.6463   -0.3144      -1.0773    1.3887
    1.6813   -0.0480       0.9719    2.6741
    3.4658    0.3572       0.5375    3.0429
   -0.3678   -1.4774       2.4510   -0.1354
    1.5382    0.2534       0.9435   -0.0158
    1.7227   -0.5464      -1.5079    2.5071
    1.9850   -0.2172      -0.5036    2.0951
    0.4627   -0.5254      -1.3641    0.3351
    3.3040   -0.9098       1.5019    2.1717
    2.0612    0.0202       0.5274    2.1928
    2.9284   -0.4195      -0.8851   -0.2488
    3.5647   -1.2869       1.9917   -0.6570
    3.0219   -1.0550       0.3774    2.0979
    0.8157   -1.7896       0.0681    0.1024
    4.1266    0.0071       0.8296    1.6983
    0.5339   -2.0298       0.2667    2.2606
   -0.6916   -2.1691       0.3890    2.7152
    3.3052   -0.5398      -0.3817    2.1047
    3.7177   -1.0457       0.3018   -0.0551
    3.0084   -0.1546       2.0593    2.4335
    2.4651   -0.3471      -1.0475    1.6562
   -0.3300   -0.7327      -0.1297    1.7050
    2.2648    2.0266       1.0761    2.8117
    0.7884   -0.1022      -1.9180    1.2053
    2.1944    0.7928       1.2367    0.1500
    0.3084    1.0034       3.0957    0.7894
    2.8847   -0.7308      -0.7751    0.6708
   -0.2177   -0.5038      -0.8431    1.3071
   -0.5453   -1.0015      -1.8811    2.5904
    0.1466   -1.3081       0.9600    2.5829
    2.1405    0.5251       0.5399    2.2981
   -1.1063   -1.2778       0.0575    0.5162
    1.7957   -0.2323       2.0230    0.2078
    1.2054   -0.4645       1.3670    2.7467
   -0.8116   -1.6056       1.6659    1.1655
   -1.2637   -1.9072       0.3466    1.9645
   -0.1458   -0.2690       0.2766    2.4990
    0.0521   -1.0656       0.7370    1.2507
    1.8661    1.4395       1.7662    1.2659
    1.0862   -0.2489       0.6250    0.5614
    0.6089   -0.4225       1.5418    0.1830
    3.0669    1.2002       0.9850    2.4096
    3.4450   -0.0144       0.4844    2.0569
   -0.3663    0.4899       1.3942    3.1721
   -0.6196   -1.7053      -0.1413    2.2840
    0.0949    0.6133      -0.2865    2.5019
    1.9963    0.2393       1.4387    0.2277
    1.0631    0.8447       0.1582    0.8763
   -0.2911   -1.5636      -0.7815    0.8001
    1.5544   -0.9780      -1.5289    1.5711
    0.4818    0.7495      -0.0079    1.7426
    0.2334   -1.8951       0.8506    2.2463
   -0.0764   -2.5490      -1.4206    2.4577
    0.0928   -1.0469       1.0677    0.0144
    0.6352   -0.4437       2.2356    0.5690
    3.7316   -0.7979      -0.8627    0.5277
    1.1341   -0.3311       0.8820    3.5951
    4.2796   -0.4712       0.2288    2.8987
    1.8050   -0.7460      -0.4842    0.9131
    1.9930    0.6257      -1.0944    1.3154
    1.4409    0.8666      -1.1745    2.0306
    1.6003    0.3311       0.3358    0.7094
   -1.0116   -0.9552       0.6033    2.4833
   -0.9765   -0.7593      -0.4796    2.2171
    1.2194   -0.8118      -0.3799    1.9158
    1.8265    1.0818       0.1867    2.8746
    1.6406    0.3203       1.4557    1.2039
    0.3619    0.2822      -1.2941    1.7726
    1.7522   -0.2060       1.4684   -0.2472
    1.3861   -1.1405      -1.0845    1.2734
    2.7766   -0.2722      -1.1642    2.1338
    2.1086   -0.4188       2.0416    0.9947
    1.2134   -0.3640       1.5267    2.0934
   -0.0797    1.3765       2.7083    1.3998
    2.1316    0.5185       0.0985    2.0636
   -0.9544   -1.8277      -0.5341    2.2114
    0.2657   -1.9005       0.9557    2.0253
   -1.1966   -2.3501       0.7105    2.4350
    1.0160   -1.0653       0.6105    2.6932
    3.5862    0.1629      -1.0164    1.5387
    4.6887   -0.0106      -0.8381    2.1634
    0.3536    1.0037       1.3301    2.1284
    0.5118   -1.1468       0.3175    2.2411
    0.2368   -1.6675      -1.1567    1.4443
   -1.1131   -1.9126      -1.3956    1.1242
   -0.0962    0.8963      -0.9053    2.4545
   -0.1009   -1.5310       0.5955    3.0553
    2.6252   -0.2185       0.0118    1.6071
   -0.8228   -0.8788      -0.3633    2.4735
   -0.7261   -1.9154       0.5394    1.6250
    0.2724   -1.5745      -0.2796    1.3043
    1.2832   -1.1503       2.3497    1.4784
    1.2111   -0.1487       0.3094    2.4050
    0.2464    1.1344       0.5152    1.3329
    1.1859   -1.3945      -0.0547    2.1713
   -0.4559   -1.6369      -0.7025    1.5829
