0.82124	-0.331	0.40416	2.1268
-0.29487	-1.8165	-1.1575	1.195
-0.018987	-1.9058	-0.54837	1.6828
-0.41658	-1.264	1.0083	2.0925
1.8899	-0.15216	-1.4576	1.97
1.9299	-0.052756	-1.0382	-0.33629
-0.42515	-4.158e-05	-0.65632	2.1715
-0.56715	-0.20735	-0.91568	1.9141
2.3914	1.727	0.57921	1.6798
1.9886	0.86842	1.2683	-0.1128
4.0039	0.07688	-0.64099	0.75956
0.97977	-0.14272	-0.0098002	0.9563
1.7817	-0.70268	-1.4562	1.726
0.42124	-0.94303	-0.47856	0.40547
0.9856	0.80545	-1.9087	0.84767
3.2327	-0.82875	-0.64141	1.5054
0.4007	-1.4434	0.93512	-0.53468
3.3067	0.35395	-1.5248	1.4946
-1.0744	-1.0657	1.152	-0.11487
3.6571	-0.88678	-1.1213	2.6804
0.56764	-1.9282	1.3729	0.22449
1.3773	-1.205	1.2746	2.2115
2.052	0.98294	1.1126	-0.45205
0.73451	-0.49769	-0.93141	2.8693
2.1503	1.0367	1.5799	0.28136
1.976	-0.46564	-1.4682	0.76345
0.72059	0.43445	2.3972	1.4906
2.0183	1.3744	2.0491	0.42744
-0.7698	-1.8462	2.168	1.0513
1.7775	0.36108	-0.86137	1.5904
1.67	1.0555	0.89052	1.5712
-0.47502	0.66452	1.1104	-0.64491
-0.33005	0.40093	-0.38586	1.5982
0.27204	-0.75327	1.8503	-0.062956
-0.41907	-0.22651	0.66732	1.7053
1.5861	0.19208	1.5119	0.40091
-0.69742	-0.77007	0.56699	-0.029409
0.75182	0.38122	0.08101	1.3549
0.4175	0.12345	-0.7465	0.95216
-0.83959	-1.7977	0.32429	2.4055
1.745	0.004349	-1.2724	2.1775
1.9886	-0.70268	1.5959	0.17544
0.22292	-1.0057	2.2761	0.097001
1.7082	-0.36916	1.516	0.47834
1.9349	0.77701	-1.0291	1.1864
0.18628	-1.3408	-0.94055	0.1152
-0.91724	-0.96249	0.68425	1.7638
-0.23488	-0.90086	0.3217	2.0788
-0.45044	-2.0976	0.085756	0.36198
-0.012127	-1.434	1.9109	0.05615
0.77577	-0.22447	2.3423	0.21946
0.069077	0.84926	-1.2367	0.16569
-0.26056	1.4054	1.544	1.2156
1.1199	-1.3107	0.50582	-0.26036
1.5104	0.28356	1.5728	1.4173
1.037	0.36702	-1.2266	2.0607
3.4991	-0.52142	-0.71415	1.3963
2.2283	0.83837	-0.03772	1.9084
0.88044	-0.98115	2.2015	-0.20223
1.4117	0.073956	-0.96478	1.4769
-0.48732	0.89837	1.1115	1.7044
0.89612	0.042107	-0.67634	1.4514
2.4376	-0.094439	-1.2367	1.8515
1.8379	1.1898	-1.0691	2.4967
0.79704	-0.83473	-1.2901	2.5203
-0.49732	0.54518	-1.3956	-0.36952
3.5191	-0.34513	1.368	-0.22922
2.0736	-0.93181	0.84295	2.7329
2.8602	1.4816	1.0895	2.6004
0.53122	0.55754	-1.0055	1.2533
-0.086222	-1.9434	1.3303	-0.56558
0.96691	-1.2184	-0.29181	1.3374
0.54549	-0.28555	1.2204	-0.49466
1.4448	0.061807	1.7711	0.059375
1.3171	-0.11288	-1.5143	-0.14346
0.28886	-1.9255	0.83962	-0.086507
1.8468	0.36275	1.4818	0.25497
1.2365	0.61196	1.0069	0.00071009
0.77453	-0.040363	-1.0201	0.38511
2.9844	-0.069857	1.1175	1.574
0.18284	0.17718	1.1324	0.027566
0.67291	0.097495	-1.1655	0.3226
-1.2914	-1.4896	1.9265	2.2662
-1.5438	-1.8947	2.0224	-0.25008
-0.63959	-0.81935	-0.049083	1.68
2.465	1.2788	2.1133	1.2363
1.0259	0.49581	-0.78173	-0.24193
3.6643	-0.2156	-0.49463	1.9481
-0.16223	1.1723	1.8254	1.0632
-0.30966	-0.58215	-0.16665	0.37048
2.1015	0.92736	-1.1659	-0.41637
0.63484	-0.67242	0.18557	0.74323
